,AAPL,GOOG,MSFT
2024-11-29 14:30:00+00:00,234.38999938964844,,419.4700012207031
2024-11-29 14:31:00+00:00,234.3000030517578,,419.1700134277344
2024-11-29 14:32:00+00:00,234.0800018310547,,418.7099914550781
2024-11-29 14:33:00+00:00,234.3428955078125,,418.6098937988281
2024-11-29 14:34:00+00:00,234.6699981689453,,418.6400146484375
2024-11-29 14:35:00+00:00,234.89999389648438,,418.2699890136719
2024-11-29 14:36:00+00:00,235.02000427246094,,418.614990234375
2024-11-29 14:37:00+00:00,235.17999267578125,,419.4599914550781
2024-11-29 14:38:00+00:00,235.06900024414062,,419.764892578125
2024-11-29 14:39:00+00:00,235.3800048828125,,420.1000061035156
2024-11-29 14:40:00+00:00,235.52000427246094,,420.260009765625
2024-11-29 14:41:00+00:00,235.50999450683594,,420.5899963378906
2024-11-29 14:42:00+00:00,235.52999877929688,,420.7349853515625
2024-11-29 14:43:00+00:00,235.4149932861328,,420.6000061035156
2024-11-29 14:44:00+00:00,235.3800048828125,,420.92498779296875
2024-11-29 14:45:00+00:00,235.61000061035156,,420.6549987792969
2024-11-29 14:46:00+00:00,235.21499633789062,,420.8800048828125
2024-11-29 14:47:00+00:00,235.32000732421875,,420.6549987792969
2024-11-29 14:48:00+00:00,235.11000061035156,,420.3900146484375
2024-11-29 14:49:00+00:00,235.13999938964844,,419.7349853515625
2024-11-29 14:50:00+00:00,235.2667999267578,,419.5799865722656
2024-11-29 14:51:00+00:00,235.2899932861328,,420.05499267578125
2024-11-29 14:52:00+00:00,235.24000549316406,,419.80999755859375
2024-11-29 14:53:00+00:00,235.39999389648438,,419.6700134277344
2024-11-29 14:54:00+00:00,235.50660705566406,,419.8299865722656
2024-11-29 14:55:00+00:00,235.50999450683594,,419.7300109863281
2024-11-29 14:56:00+00:00,235.6199951171875,,419.510498046875
2024-11-29 14:57:00+00:00,235.5399932861328,,419.5400085449219
2024-11-29 14:58:00+00:00,235.48500061035156,,419.3500061035156
2024-11-29 14:59:00+00:00,235.69000244140625,,419.8800048828125
