,AAPL,GOOG,MSFT
2024-12-02 14:30:00+00:00,238.70089721679688,,422.1700134277344
2024-12-02 14:31:00+00:00,239.0,,423.07000732421875
2024-12-02 14:32:00+00:00,238.93460083007812,,422.95001220703125
2024-12-02 14:33:00+00:00,239.11000061035156,,424.32000732421875
2024-12-02 14:34:00+00:00,239.29629516601562,,424.5899963378906
2024-12-02 14:35:00+00:00,239.28500366210938,,424.260009765625
2024-12-02 14:36:00+00:00,239.3675994873047,,424.6000061035156
2024-12-02 14:37:00+00:00,239.35000610351562,,424.8599853515625
2024-12-02 14:38:00+00:00,239.0802001953125,,425.3450012207031
2024-12-02 14:39:00+00:00,238.8917999267578,,424.9446105957031
2024-12-02 14:40:00+00:00,238.8800048828125,,425.2149963378906
2024-12-02 14:41:00+00:00,238.54010009765625,,425.19000244140625
2024-12-02 14:42:00+00:00,238.66000366210938,,424.760009765625
2024-12-02 14:43:00+00:00,238.3699951171875,,424.7882995605469
2024-12-02 14:44:00+00:00,238.4600067138672,,424.8200988769531
2024-12-02 14:45:00+00:00,238.39500427246094,,425.3599853515625
2024-12-02 14:46:00+00:00,238.72999572753906,,425.4700012207031
2024-12-02 14:47:00+00:00,238.44000244140625,,425.42999267578125
2024-12-02 14:48:00+00:00,238.55999755859375,,425.7699890136719
2024-12-02 14:49:00+00:00,238.52000427246094,,426.30999755859375
2024-12-02 14:50:00+00:00,238.6300048828125,,426.0874938964844
2024-12-02 14:51:00+00:00,238.55999755859375,,425.8599853515625
2024-12-02 14:52:00+00:00,238.63999938964844,,426.05999755859375
2024-12-02 14:53:00+00:00,238.97999572753906,,426.3100891113281
2024-12-02 14:54:00+00:00,239.00999450683594,,426.1680908203125
2024-12-02 14:55:00+00:00,238.91000366210938,,426.17999267578125
2024-12-02 14:56:00+00:00,239.05999755859375,,426.1317138671875
2024-12-02 14:57:00+00:00,238.99000549316406,,425.7597961425781
2024-12-02 14:58:00+00:00,239.21499633789062,,425.9065856933594
2024-12-02 14:59:00+00:00,239.30499267578125,,426.2300109863281
2024-12-02 15:00:00+00:00,239.1999969482422,,426.7862854003906
2024-12-02 15:01:00+00:00,239.0500030517578,,426.42999267578125
2024-12-02 15:02:00+00:00,239.089599609375,,426.4800109863281
2024-12-02 15:03:00+00:00,239.25999450683594,,427.20001220703125
2024-12-02 15:04:00+00:00,239.3350067138672,,427.135009765625
2024-12-02 15:05:00+00:00,239.55999755859375,,427.5299987792969
2024-12-02 15:06:00+00:00,239.64999389648438,,427.8883972167969
2024-12-02 15:07:00+00:00,239.77000427246094,,427.9200134277344
2024-12-02 15:08:00+00:00,239.50999450683594,,427.69000244140625
2024-12-02 15:09:00+00:00,239.41000366210938,,427.6050109863281
2024-12-02 15:10:00+00:00,239.4311065673828,,427.75
2024-12-02 15:11:00+00:00,239.64500427246094,,428.5950012207031
2024-12-02 15:12:00+00:00,239.72999572753906,,428.6000061035156
2024-12-02 15:13:00+00:00,239.7100067138672,,428.69500732421875
2024-12-02 15:14:00+00:00,239.72999572753906,,428.7900085449219
2024-12-02 15:15:00+00:00,239.85960388183594,,428.93499755859375
2024-12-02 15:16:00+00:00,239.72540283203125,,429.1000061035156
2024-12-02 15:17:00+00:00,239.8621063232422,,429.1000061035156
2024-12-02 15:18:00+00:00,239.82769775390625,,429.17999267578125
2024-12-02 15:19:00+00:00,239.6627960205078,,428.760009765625
2024-12-02 15:20:00+00:00,239.77499389648438,,429.2298889160156
2024-12-02 15:21:00+00:00,239.7899932861328,,429.1099853515625
2024-12-02 15:22:00+00:00,239.66000366210938,,429.07000732421875
2024-12-02 15:23:00+00:00,239.67999267578125,,429.1300048828125
2024-12-02 15:24:00+00:00,239.7449951171875,,428.8999938964844
2024-12-02 15:25:00+00:00,239.9499969482422,,429.2799987792969
2024-12-02 15:26:00+00:00,239.97999572753906,,429.8599853515625
2024-12-02 15:27:00+00:00,239.9499969482422,,430.2456970214844
2024-12-02 15:28:00+00:00,239.96499633789062,,430.5166931152344
2024-12-02 15:29:00+00:00,240.27000427246094,,430.5799865722656
